"filename", "language", "Java", "XML", "comment", "blank", "total"
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\command\getPlaylistCommand.class", "Java", 29, 0, 0, 0, 29
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\control\Context.class", "Java", 13, 0, 0, 0, 13
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\control\Controller.class", "Java", 59, 0, 0, 3, 62
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\Log.class", "Java", 6, 0, 0, 0, 6
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\SpotifyClient.class", "Java", 21, 0, 0, 0, 21
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\Followers.class", "Java", 8, 0, 0, 0, 8
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\Item.class", "Java", 14, 0, 23, 0, 37
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\Owner.class", "Java", 36, 0, 0, 0, 36
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\Playlists.class", "Java", 20, 0, 0, 0, 20
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\Tracks.class", "Java", 8, 0, 0, 0, 8
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\playlist\AddedBy.class", "Java", 31, 0, 0, 0, 31
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\playlist\Album.class", "Java", 16, 0, 26, 0, 42
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\playlist\Artist.class", "Java", 17, 0, 0, 0, 17
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\playlist\DetailedArtist.class", "Java", 32, 0, 0, 0, 32
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\playlist\LinkedFrom.class", "Java", 5, 0, 0, 0, 5
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\playlist\Playlist.class", "Java", 21, 0, 0, 0, 21
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\playlist\PlaylistItem.class", "Java", 22, 0, 0, 0, 22
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\playlist\Restrictions.class", "Java", 11, 0, 0, 0, 11
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\data\playlists\playlist\Track.class", "Java", 53, 0, 0, 0, 53
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\playback\Actions.class", "Java", 5, 0, 0, 0, 5
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\playback\Artist.class", "Java", 24, 0, 0, 0, 24
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\playback\CurrentPlayback.class", "Java", 34, 0, 0, 0, 34
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\playback\Device.class", "Java", 22, 0, 0, 0, 22
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\playback\Devices.class", "Java", 11, 0, 0, 0, 11
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\playback\ExternalIds.class", "Java", 10, 0, 0, 0, 10
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\playback\ExternalUrl.class", "Java", 10, 0, 0, 0, 10
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\playback\Image.class", "Java", 12, 0, 0, 0, 12
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\playback\Item.class", "Java", 68, 0, 0, 0, 68
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\playback\PlaybackContext.class", "Java", 22, 0, 0, 0, 22
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\rest\Builders.class", "Java", 29, 0, 0, 0, 29
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\rest\ResponseCodes.class", "Java", 19, 0, 0, 0, 19
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\classes\com\spotify\rest\ResponseHandler.class", "Java", 15, 0, 0, 0, 15
"c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify\spotifycontroller\target\test-classes\com\spotify\AppTest.class", "Java", 11, 0, 0, 0, 11
"Total", "-", 3211, 70, 80, 728, 4089
